"ASSET","BANKS","BKPREM","CHBAL","CHBALI","CRLNLS","DDT","DEP","DEPFOR","DEPI","DEPIFOR","DEPNI","DEPNIFOR","DRLNLS","EDEP","EDEPDOM","EDEPFOR","EFREPP","EINTEXP","ELNATR","EOTHNINT","EPREMAGG","EQCDIV","EQCDIVC","EQCDIVP","ESAL","ESUBND","EXTRA","FREPO","FREPP","ICHBAL","ID","IFREPO","IGLSEC","ILNDOM","ILNFOR","ILNLS","ILS","INTAN","INTBAST","INTBLIB","INTINC","ISC","ISERCHG","ITAX","ITAXR","ITRADE","LNAG","LNATRES","LNAUTO","LNCI","LNCON","LNCONOTH","LNCRCD","LNDEP","LNLS","LNLSGR","LNLSNET","LNMOBILE","LNMUNI","LNRE","LNREAG","LNRECONS","LNREDOM","LNREFOR","LNREMULT","LNRENRES","LNRERES","LNSP","LS","MTGLS","NALNLS","NCLNLS","NETINC","NEW10_1","NEW10_2","NEW10_3","NEW11_1","NEW15_1","NEW15_2","NEW15_3","NEW15_4","NEW15_5","NEW15_7","NEW16_1","NEW6_1","NEW9_1","NIM","NONII","NONIX","NTLNLS","NTR","NTRTIME","NUMEMP","OEA","OONONII","ORE","P3LNLS","P9LNLS","SC","SCAGE","SCEQ","SCMUNI","SCMV","SCUST","STNAME","SUBND","TINTINC","TOINTEXP","TPD","TRADE","TRN","UNINC","YEAR"
22897206750,3928,189978703,2601179703,2378675776,17598335,5542642031,18238613615,1466577470,14340581143,1340846906,3898032471,125730564,94712111,437070428,391775934,45294494,34805757,543408582,81460455,233835906,48144063,175567855,175088354,479501,266574653,3230606,5091955,629895803,369339224,121810006,"CB_2024_USA",46175958,-5918405,783648447,36679049,826723971,6396475,410748268,20925665747,15830418429,1203276242,168863154,31406165,63932750,324424353,25338682,83036079,206228749,496116366,2330648996,1887980943,293215095,1055963548,60723122,12061752627,12059740687,11853511938,0,190740904,5569763689,116553783,458269034,5523407316,46356373,577580548,1738978511,2632025440,0,118396995,0,82252630,115574060,259297219,731484853,887437511,,1820461904,16896554055,8029777,760828179,573201604,8586540089,16772036145,1065448897,65886320,1144790681,659867660,299919551,553902402,77113776,10363084256,2642854025,1948518,1517333314,268513386,3519424,71605074,33321430,5176144719,2678125504,0,291619899,4890082656,1467363619,"United States & Other Areas",55049165,376552271,103922683,104926504,887437511,6408951889,2011940,"2024"
22451217075,4036,185508612,2763801167,2526859543,14769400,5129320620,17832421016,1467776449,13818392297,1346500493,4014028718,121275957,72302686,339295301,300499881,38795420,25303437,431724807,79596457,238800723,46772352,208871810,208382928,488882,261945128,3336358,874928,619235225,319926982,110607731,"CB_2023_USA",38442166,-11023970,721787693,35792677,762902548,5322178,417449804,20498317920,15361322804,1091832405,145771944,29751903,56501229,312273607,20173927,78951876,202002160,506684744,2435194872,1973501445,372120899,1006842495,59435813,11812947821,11811576750,11609574590,0,202066140,5508049551,114619814,473407445,5460673377,47376174,563148928,1720236258,2589260932,0,115962090,0,68085882,99241289,245240890,758201375,757997091,,1439786000,16501031972,7395939,746675975,577317130,8615466643,16364644537,1165954509,61623219,1110250954,660107598,294959707,563197240,57533286,10413368589,2619857274,1974430,1377232316,265207804,2748161,68792060,31155407,4984651471,2618600315,0,322028050,4721144095,1278458978,"United States & Other Areas",57049016,328929857,90263014,99947467,757997091,5951275948,1371071,"2023"
22315212074,4136,183497835,2499473518,2257228283,14822437,5261099620,18133153156,1488788247,13265055194,1347495767,4868097985,141292480,43370580,84575617,74393515,10182102,4862983,112008555,47566323,209917969,45885556,139294339,138672366,621973,247979719,2259171,-263500,638412991,266131895,35912573,"CB_2022_USA",12288106,-3519060,503880041,22302814,530507791,4324936,423261946,20396666501,14473087638,704375770,107893705,32310644,63628671,317408366,11218660,73499947,181143813,525935525,2486419848,1921533862,387036747,910474245,64210453,11587344542,11585594524,11404450711,0,208428020,5338131708,111804397,440131591,5281941827,56189881,550004861,1680585396,2499415582,0,110488371,0,51805549,81470586,249754418,788531487,728949694,,1384632292,16818170297,3590290,722997975,588394594,9834635727,16644364905,876794799,19739445,1067070396,592367215,280208673,507601199,28548143,10522636408,1548629558,2016527,1367362685,247898029,2470161,62231284,29665037,5367624822,2819713679,0,371328376,5040163036,1381301382,"United States & Other Areas",65105750,173867979,26861599,91896321,728949694,6121728497,1750018,"2022"
22200965310,4238,178660330,3420853146,3193346425,17082648,4969375025,18415160068,1511978092,12845553624,1337479371,5569606471,174498720,41827379,22301842,21685991,615851,331855,32393759,-31333593,190180858,45995762,149679814,149209465,470349,238114255,1748082,47248,596624009,256051483,4813422,"CB_2021_USA",2359577,2394555,410655339,16288689,431349329,4405301,393900334,20501891736,13693326939,521679562,73421705,33234525,67766280,328680782,7719550,71146382,164635526,517831087,2262156371,1744687618,350524442,781439445,60851997,10567521658,10565563612,10400928086,0,196631830,4818856301,104267223,376260711,4750057202,68799099,438382135,1548562453,2282584680,0,112721628,0,59608304,85604621,263168314,703232697,723326629,,1300469475,17035552360,4508540,724688431,650410737,10816321688,16903181927,525331816,7603626,896216966,489285803,285970891,477909506,24744731,11165045513,1117485214,1949433,1319950638,252736366,2789223,52572210,25996317,5587666587,3055014355,0,408811132,5568571298,1410367830,"United States & Other Areas",66390016,90330233,9683563,78568527,723326629,5738136414,1958046,"2021"
20490612225,4379,180089756,3073676041,2821370899,14872482,3636297634,16684029922,1533793441,12026387530,1374325244,4657642410,159468197,64717836,52635059,49664839,2970220,1566033,70460950,124595061,182516923,46240152,79622807,79218467,404340,224077344,2022996,-102447,780630054,263381581,7070854,"CB_2020_USA",4732473,7528972,437838947,17759985,460460893,4861961,376271756,18862007481,13007910157,559945071,76230590,31531252,33323133,162593031,8786683,68721409,220599798,472269963,2384061578,1615430559,325526754,734736911,59976390,10206610645,10203616415,9983016617,0,195724923,4678068613,101019121,362039176,4608204443,69864170,409053822,1470321465,2265770859,0,118949311,0,77915663,109558455,136466350,624356665,731231799,,1085677849,15388889623,3572895,636010900,655556504,10172300558,15150236444,649930139,13673237,815523037,489484121,265812693,468108722,49845354,10904995650,1341638252,1943265,1511861853,234281441,4415053,58544876,31642792,4545758112,2606851356,0,362840432,4573293423,943716626,"United States & Other Areas",68210907,99484178,17262266,90187668,731231799,4245240794,2994230,"2020"
17491133592,4526,179090680,1594281716,1387515620,15021100,1816543828,13614287333,1315291809,10408656974,1190044240,3205630375,125247569,61395281,111719806,100271480,11448326,6024687,148377721,49853613,176214571,43655491,169315174,168634674,680500,210686473,2788466,162640,561579933,226531491,22970322,"CB_2019_USA",13943980,3494626,481515560,22491038,508974178,4967580,396813641,15952494940,11689469576,653647021,89182560,34632760,56566654,270732934,13438077,75438524,114153235,458770571,2164262503,1695551366,311822137,846120582,74548734,9864836078,9862632199,9748478964,0,181734752,4604187931,102473430,338398361,4540382501,63805430,390075152,1419315788,2290119770,0,126337335,0,51302228,83993448,217593740,545220065,658450319,,942774891,12468810839,3881683,552720015,588874796,8657666148,12298995477,984355250,27246277,750564463,505269300,251950097,436632850,46374181,10075222734,1824785501,1941314,1220030252,217317337,5403772,61341728,32691220,3596470104,2122537822,484226,302961378,3605658564,619596581,"United States & Other Areas",69925861,144672843,36059430,94032948,658450319,2223772743,2203879,"2019"
16728101634,4717,122105828,1617299243,1403421392,14981665,1723790648,12898467418,1253300918,9729772511,1136263821,3168694896,117037095,57057819,77230761,68353534,8877227,4036937,111299038,43928974,178056660,42364750,158461698,158002387,459311,205208506,2778611,-37432,620806546,235442434,24802543,"CB_2018_USA",8325366,183122,451464892,21964543,478418475,4989040,385309460,15260315802,11064176367,610121712,83458744,34774597,56658122,278847917,11023897,78825896,113717957,430347500,2114330181,1595382251,282794032,803689067,83230952,9462135384,9459888245,9346170288,0,186619803,4413340723,102827456,327018416,4351437726,61902997,350281583,1337376292,2233933979,0,127525323,0,53822316,89643847,222055268,522349818,571188164,,862880230,11813309990,3739937,517517843,563899648,8175479396,11645166493,1030299574,26799344,740210316,498822674,254256617,430302401,42076154,9550805887,1745896449,1943051,1191994710,219482020,6282377,59511650,35821531,3318729412,1952154049,1025507,317304636,3299729448,521348761,"United States & Other Areas",68661848,131703237,33614892,95333181,571188164,2094360606,2247139,"2018"
16217881358,4918,118252915,1832972098,1618661480,13297247,1699893098,12467586531,1317594804,9181460133,1196474985,3286126440,121119820,54796564,42932301,36821073,6111228,2055649,66848952,44356026,164100211,42131202,113422451,112925477,496974,197234628,2742936,-87270,429007530,253528266,16142118,"CB_2017_USA",4884887,1823019,391872897,19488423,416061121,4699801,372022501,14782586355,10521413669,524347298,73996594,35117492,90204393,240290042,9839500,77405033,112660448,424305205,1937069956,1527472927,261039152,762125634,83766243,9007798224,9005676036,8893015588,0,188828812,4301413802,98948544,315750963,4237066475,64347327,328445583,1285153894,2208767491,0,126238695,0,61017817,105142814,151492098,536509199,568538209,,765602768,11412990306,3828972,511274327,539492926,7957902970,11149991730,1017523015,18766653,722802121,457498346,235852448,408704726,41499317,9106556044,1492195662,1950933,997545739,200734956,7906848,61666716,44124997,3273363548,1915810882,6587744,355838373,3270270462,458617350,"United States & Other Areas",68902255,108286177,23565238,105791713,568538209,2043435686,2122188,"2017"
15627781046,5112,112419513,1738274691,1535200955,12778806,1592931789,11982312148,1245578949,8800151248,1135662990,3182160925,109915959,51067598,29636503,25008820,4627683,1552029,48671164,42950780,154598888,42960683,95745967,95251545,494422,186933983,2883785,-322568,397898647,225179649,8451512,"CB_2016_USA",3788492,3539213,356312828,19826690,380796117,4656599,358627188,14200927833,10106381622,471901608,66834456,34683126,68828323,222632073,9943047,76717178,111707244,414396068,1864801382,1448235636,250874012,706423506,82560979,8605801145,8603821592,8492114348,0,171726498,4132715274,93693469,292736311,4074321952,58393322,308514026,1223454539,2155923607,0,122879240,0,73111036,120082154,156685060,573155810,550657288,,706164919,11024817199,3752892,501395627,452346430,7707735749,10736733203,997166368,14598847,742466210,423230444,232694577,390342169,38288792,8816751876,1436065665,1923661,948555935,198011451,10266566,60021592,46971118,3225056595,1798144956,6659609,346264388,3221172274,500831832,"United States & Other Areas",83884357,91105491,19034661,106992710,550657288,1919981327,1979553,"2016"
14893214772,5340,111946421,1686442195,1499395156,13254192,1493418751,11349503567,1281997023,8320140393,1180164205,3029363204,101832818,46762525,25504893,20755491,4749402,1207990,40485569,33115111,153975551,42654991,97603964,97277618,326346,181123600,2693790,-11802,363659226,259351823,5440620,"CB_2015_USA",2941353,3372289,327854841,19804387,351956176,4296948,350308065,13526237534,9617664794,438200726,65072540,33543624,65019761,214032269,9860420,78937987,109385137,388545591,1773808383,1362577809,235800580,664608580,95406854,8171960834,8170050510,8060665373,0,152002512,3921795465,88471977,257339101,3856849319,64946146,273696159,1138911298,2098430784,0,113126508,0,71499193,126144412,151896097,613259711,540735285,,674305337,10424804609,4114806,490270636,430313516,7107479959,10067506566,947285512,11078896,704440142,397715157,233558337,384126114,33508333,8255263551,1466607856,1904845,904394511,200014713,13235571,58897246,54645219,3061782494,1703451777,8280402,328563119,3065176133,408227485,"United States & Other Areas",90887066,86244550,14980676,113542465,540735285,1812243015,1910324,"2015"
